#{"t_start": 1646848340.6345458, "env_id": "wordle-v0"}
r,l,t
38,30,0.055
0,30,0.084006
21,30,0.117
-2,30,0.149999
-1,30,0.180005
-4,30,0.212999
-14,30,0.243001
-13,30,0.277005
-4,30,0.303
14,30,0.329
17,30,0.355
9,30,0.386001
1,30,0.414999
-6,30,0.445001
36,30,0.473
22,30,0.503999
-1,30,0.529001
16,30,0.555001
22,30,0.584001
-15,30,0.613
16,30,0.638001
1,30,0.665001
5,30,0.694
-13,30,0.719
-10,30,0.747005
13,30,0.776001
14,30,0.801
-9,30,0.826
-5,30,0.851001
-60,30,0.876001
-39,30,0.901
19,30,0.925
3,30,0.954001
17,30,0.994001
31,30,1.018001
4,30,1.042001
16,30,1.071
40,30,1.096
32,30,1.123999
32,30,1.149
-4,30,1.173999
-24,30,1.203
26,30,1.228
-18,30,1.253
31,30,1.277
-2,30,1.305001
-5,30,1.336001
3,30,1.36
5,30,1.387999
34,30,1.415006
9,30,1.440001
16,30,1.469
7,30,1.499001
-46,30,1.528
-10,30,1.553
3,30,1.582
-39,30,1.607
-15,30,1.632001
-30,30,1.657001
21,30,1.687001
-16,30,1.715001
4,30,1.738
6,30,1.766
20,30,1.790001
-18,30,1.822002
-4,30,1.853001
-23,30,1.891001
42,30,1.917
29,30,6.381006
-1,30,6.413
1,30,6.442999
-19,30,6.47
13,30,6.497
-12,30,6.529999
-43,30,6.565002
41,30,6.590999
-23,30,6.62
-34,30,6.657001
-10,30,6.703006
-5,30,6.741001
-39,30,6.769
-21,30,6.803
-4,30,6.834999
-10,30,6.86
7,30,6.895001
1,30,6.928005
-14,30,6.958001
20,30,6.988
41,30,7.020001
-6,30,7.048001
-2,30,7.080001
-27,30,7.110024
11,30,7.140001
19,30,7.190002
-56,30,7.221178
-41,30,7.253001
-36,30,7.280001
-11,30,7.306056
42,30,7.337001
-6,30,7.364
-7,30,7.402001
11,30,7.426999
-8,30,7.453
-9,30,7.478
-16,30,7.504002
9,30,7.531005
9,30,7.556
-22,30,7.583
40,30,7.613001
21,30,7.642001
18,30,7.672004
13,30,7.699
-21,30,7.729011
-31,30,7.756002
-30,30,7.786
-21,30,7.813006
-36,30,7.839
-36,30,7.866005
-28,30,7.895
33,30,7.924999
2,30,7.951005
-17,30,7.976
-21,30,8.003999
20,30,8.032
45,30,8.055999
20,30,8.082
0,30,8.108001
-53,30,8.137999
4,30,8.165001
10,30,8.187999
-20,30,8.217
-5,30,8.240999
6,30,8.268999
-17,30,8.308
-1,30,8.338006
1,30,8.366001
17,30,13.049
-29,30,13.083
-20,30,13.116
23,30,13.147999
24,30,13.181
31,30,13.212
2,30,13.244
-16,30,13.274002
-30,30,13.302007
-12,30,13.334001
-2,30,13.360001
15,30,13.389006
-23,30,13.419001
-4,30,13.446001
22,30,13.474
1,30,13.501001
31,30,13.524005
-10,30,13.549999
-3,30,13.574999
-5,30,13.601
30,30,13.631999
42,30,13.660006
19,30,13.692006
31,30,13.725
-7,30,13.758
0,30,13.788
-15,30,13.818006
-29,30,13.850057
27,30,13.876999
-30,30,13.906999
6,30,13.945001
-16,30,13.973053
-46,30,14.004054
-27,30,14.03
31,30,14.058002
-10,30,14.085002
21,30,14.113002
-9,30,14.143054
-27,30,14.176009
40,30,14.205
2,30,14.23401
-42,30,14.263
-75,30,14.291006
-2,30,14.321001
-75,30,14.354001
43,30,14.381999
9,30,14.408054
26,30,14.434001
48,30,14.462002
53,30,14.489053
6,30,14.518001
-3,30,14.547001
57,30,14.577
-18,30,14.608001
5,30,14.638
42,30,14.665
-25,30,14.697
21,30,14.725999
14,30,14.753
39,30,14.780001
14,30,14.808
7,30,14.832
-23,30,14.859999
-6,30,14.889999
-6,30,14.928
-30,30,14.956007
-39,30,14.984
12,30,15.013
-2,30,19.592999
6,30,19.618999
-19,30,19.649
33,30,19.680999
29,30,19.715
-6,30,19.749
-52,30,19.783
-16,30,19.815001
-12,30,19.847005
-3,30,19.872
8,30,19.899999
8,30,19.929
-21,30,19.954
1,30,19.981001
33,30,20.008
13,30,20.031
8,30,20.054999
25,30,20.083
26,30,20.107005
17,30,20.133
41,30,20.158002
16,30,20.182999
12,30,20.210001
-28,30,20.239002
-14,30,20.268
12,30,20.295005
-32,30,20.326
-27,30,20.357001
15,30,20.388
-36,30,20.431
8,30,20.457999
