,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
0,0,-46.666666666666664,2022-03-08 20:48:44.197796,2022-03-08 20:49:54.785796,0 days 00:01:10.588000,512,0.3,0.0012117632235668341,0.98,0.8,0.00013847837886671392,0.5,1,2048,0.8410894868608073,COMPLETE
1,1,-48.0,2022-03-08 20:48:44.256795,2022-03-08 20:51:35.961795,0 days 00:02:51.705000,32,0.3,0.0008192279241334076,0.9,0.99,1.4202458519434974e-05,0.3,5,128,0.44882632866846706,COMPLETE
2,2,-42.333333333333336,2022-03-08 20:48:44.258795,2022-03-08 20:50:40.858796,0 days 00:01:56.600001,64,0.2,0.00034127603467741925,0.98,0.99,8.700436210997098e-05,1.0,10,2048,0.9180850258637414,COMPLETE
3,3,-46.666666666666664,2022-03-08 20:49:54.787795,2022-03-08 20:51:44.748801,0 days 00:01:49.961006,64,0.1,0.009877213332829843,0.8,0.999,5.949161596616854e-05,0.7,10,1024,0.7517370772576277,COMPLETE
4,4,-53.0,2022-03-08 20:50:40.860795,2022-03-08 20:52:03.449798,0 days 00:01:22.589003,128,0.4,0.0037225091028536216,1.0,0.999,0.000443746540445769,1.0,20,128,0.6964895432610863,COMPLETE
5,5,-46.0,2022-03-08 20:51:35.963795,2022-03-08 20:54:23.829795,0 days 00:02:47.866000,32,0.1,0.002316723398246052,1.0,0.8,0.0005678398045412071,5.0,10,256,0.43664652461461306,COMPLETE
6,6,-59.666666666666664,2022-03-08 20:51:44.750795,2022-03-08 20:53:06.413795,0 days 00:01:21.663000,128,0.1,0.005577981325252463,0.92,0.9,1.94102000779276e-05,0.5,20,2048,0.4413401726212006,PRUNED
7,7,-48.0,2022-03-08 20:52:03.451795,2022-03-08 20:53:16.369795,0 days 00:01:12.918000,256,0.2,0.00014293753711868513,0.98,0.99,5.678524626514392e-05,1.0,10,2048,0.036705622634947976,COMPLETE
8,8,-47.666666666666664,2022-03-08 20:53:06.415795,2022-03-08 20:54:53.098797,0 days 00:01:46.683002,64,0.2,0.00010549360633966652,0.98,0.95,0.0008167755770334819,1.0,10,64,0.10709382194407002,PRUNED
9,9,-42.666666666666664,2022-03-08 20:53:16.371796,2022-03-08 20:55:09.153796,0 days 00:01:52.782000,64,0.2,0.00011734010288350419,0.95,0.95,0.0008252170268315727,0.9,10,64,0.9069699133367832,COMPLETE
10,10,-39.666666666666664,2022-03-08 20:54:23.831794,2022-03-08 20:56:21.517795,0 days 00:01:57.686001,64,0.2,0.00021930602184094548,0.99,0.95,0.00017878787341779446,2.0,1,512,0.9693374192231093,COMPLETE
