#{"t_start": 1646582590.7579508, "env_id": "wordle-v0"}
r,l,t
29.0,30,0.078125
80.0,30,0.109375
58.0,30,0.153157
69.0,30,0.184411
109.0,30,0.215661
29.0,30,0.246911
-4.0,30,0.278162
62.0,30,0.309412
18.0,30,0.340659
91.0,30,0.356285
51.0,30,0.387537
40.0,30,0.418787
87.0,30,0.450037
84.0,30,0.481284
91.0,30,0.512534
138.0,30,0.543787
51.0,30,0.559411
80.0,30,0.668787
-4.0,30,0.715662
131.0,30,0.74691
29.0,30,0.778161
76.0,30,0.809412
18.0,30,0.840661
91.0,30,0.871912
87.0,30,0.903163
87.0,30,0.934413
98.0,30,0.965661
58.0,30,0.996911
-4.0,30,1.028161
51.0,30,1.05941
18.0,30,1.075036
25.0,30,1.106286
62.0,30,1.137536
18.0,30,1.184411
58.0,30,1.293787
29.0,30,1.325037
98.0,30,1.356286
87.0,30,1.403162
7.0,30,1.434411
76.0,30,1.465661
76.0,30,1.49691
-4.0,30,1.512536
98.0,30,1.543786
7.0,30,1.575036
80.0,30,1.606286
69.0,30,1.621911
36.0,30,1.653162
116.0,30,1.684412
40.0,30,1.715662
40.0,30,1.746911
98.0,30,1.762536
58.0,30,1.887536
109.0,30,1.918786
80.0,30,1.950035
138.0,30,1.981286
18.0,30,2.012536
87.0,30,2.043785
29.0,30,2.075034
131.0,30,2.106284
109.0,30,2.12191
76.0,30,2.153162
120.0,30,2.184411
51.0,30,2.215662
69.0,30,2.231286
80.0,30,2.262536
62.0,30,2.293787
18.0,30,2.340662
80.0,30,2.37191
18.0,30,2.481285
149.0,30,2.512536
40.0,30,2.543786
40.0,30,2.575038
69.0,30,2.621912
47.0,30,2.653161
18.0,30,2.684411
109.0,30,2.715662
149.0,30,2.731285
116.0,30,2.762536
18.0,30,2.793786
40.0,30,2.80941
36.0,30,2.840663
58.0,30,2.87191
18.0,30,2.90316
138.0,30,2.918784
47.0,30,2.950035
113.0,30,3.059412
40.0,30,3.090661
29.0,30,3.121912
80.0,30,3.153162
109.0,30,3.200038
58.0,30,3.231287
29.0,30,3.262538
47.0,30,3.278161
116.0,30,3.309412
-4.0,30,3.340661
91.0,30,3.371911
171.0,30,3.387537
40.0,30,3.418786
