#{"t_start": 1646415598.1151147, "env_id": "wordle-v0"}
r,l,t
33.0,30,0.045791
25.0,30,0.092669
37.0,30,0.123919
1.0,30,0.155168
9.0,30,0.186418
25.0,30,0.217666
-7.0,30,0.24892
9.0,30,0.295796
37.0,30,0.467672
13.0,30,0.514545
49.0,30,0.545795
13.0,30,0.577045
17.0,30,0.608295
1.0,30,0.639542
21.0,30,0.670795
-3.0,30,0.717668
5.0,30,0.764544
-11.0,30,0.795795
41.0,30,0.859524
25.0,30,0.895299
57.0,30,0.926548
-11.0,30,0.973423
-7.0,30,1.0203
-7.0,30,1.051546
21.0,30,1.098422
17.0,30,1.145298
-3.0,30,1.192175
49.0,30,1.223423
21.0,30,1.270298
13.0,30,1.317172
41.0,30,1.379675
1.0,30,1.42655
25.0,30,1.473435
17.0,30,1.567174
13.0,30,1.629673
53.0,30,1.660923
21.0,30,1.707798
25.0,30,1.754673
41.0,30,1.785922
37.0,30,1.817173
17.0,30,1.864049
37.0,30,1.910923
25.0,30,1.957797
5.0,30,1.989048
17.0,30,2.020298
33.0,30,2.100255
93.0,30,2.145257
41.0,30,2.229634
37.0,30,2.307761
57.0,30,2.33901
5.0,30,2.37026
5.0,30,2.43276
25.0,30,2.464011
13.0,30,2.510885
37.0,30,2.542136
1.0,30,2.573385
61.0,30,2.620257
17.0,30,2.651508
1.0,30,2.698384
37.0,30,2.745259
17.0,30,2.792133
5.0,30,2.823385
13.0,30,2.870259
13.0,30,2.901508
53.0,30,2.948385
53.0,30,2.995259
13.0,30,3.073384
13.0,30,3.104633
21.0,30,6.092278
69.0,30,6.123528
33.0,30,6.1704
5.0,30,6.20165
49.0,30,6.232899
29.0,30,6.279774
21.0,30,6.311028
45.0,30,6.342275
5.0,30,6.389153
77.0,30,6.420402
29.0,30,6.452133
13.0,30,6.498529
37.0,30,6.545403
29.0,30,6.576654
5.0,30,6.612244
13.0,30,6.643729
97.0,30,6.674984
61.0,30,6.706233
-7.0,30,6.737483
37.0,30,6.768734
61.0,30,6.815609
57.0,30,6.846859
9.0,30,6.893733
9.0,30,6.924982
13.0,30,6.956235
25.0,30,7.003106
25.0,30,7.034356
13.0,30,7.065607
9.0,30,7.096857
5.0,30,7.128107
13.0,30,7.174979
33.0,30,7.206234
45.0,30,7.268733
-7.0,30,7.299981
37.0,30,7.331229
57.0,30,7.378107
37.0,30,7.409357
-11.0,30,7.440605
25.0,30,7.471859
-3.0,30,7.503105
81.0,30,7.549981
21.0,30,7.581233
5.0,30,7.61248
41.0,30,7.643732
61.0,30,7.690606
13.0,30,7.721854
5.0,30,7.768733
101.0,30,7.79998
13.0,30,7.831229
17.0,30,7.862481
9.0,30,7.893732
41.0,30,7.940605
17.0,30,7.971856
1.0,30,8.003105
-3.0,30,8.034355
41.0,30,8.065606
-3.0,30,8.096856
53.0,30,8.14373
21.0,30,8.17498
41.0,30,8.206232
61.0,30,8.23748
5.0,30,8.26873
-11.0,30,8.29998
-7.0,30,8.33123
5.0,30,8.362479
41.0,30,8.440607
-3.0,30,8.47186
37.0,30,8.503108
21.0,30,11.596859
13.0,30,11.628107
45.0,30,11.674983
-7.0,30,11.706232
17.0,30,11.753104
-7.0,30,11.784356
13.0,30,11.821229
33.0,30,11.841282
21.0,30,11.888161
13.0,30,11.91941
13.0,30,11.950661
17.0,30,11.981911
37.0,30,12.013162
41.0,30,12.060036
61.0,30,12.091285
13.0,30,12.122535
9.0,30,12.153786
1.0,30,12.185034
29.0,30,12.231909
-3.0,30,12.263159
29.0,30,12.310035
13.0,30,12.341286
5.0,30,12.372536
5.0,30,12.403785
1.0,30,12.45066
33.0,30,12.481908
-7.0,30,12.513159
25.0,30,12.544411
93.0,30,12.591285
13.0,30,12.622536
21.0,30,12.685038
41.0,30,12.716284
13.0,30,12.747534
45.0,30,12.79441
21.0,30,12.82566
45.0,30,12.85691
33.0,30,12.88816
53.0,30,12.919411
5.0,30,12.950658
13.0,30,12.997535
-3.0,30,13.028784
37.0,30,13.060035
9.0,30,13.091286
1.0,30,13.122536
1.0,30,13.169408
41.0,30,13.200661
17.0,30,13.231913
25.0,30,13.263159
45.0,30,13.29441
21.0,30,13.341285
25.0,30,13.372536
9.0,30,13.403785
65.0,30,13.435036
33.0,30,13.466283
29.0,30,13.497533
9.0,30,13.54441
21.0,30,13.575659
25.0,30,13.606912
-11.0,30,13.638159
29.0,30,13.685034
29.0,30,13.716286
17.0,30,13.763162
25.0,30,13.794412
29.0,30,13.841288
45.0,30,13.888161
5.0,30,13.91941
69.0,30,13.966284
37.0,30,13.997537
73.0,30,17.060035
17.0,30,17.091287
49.0,30,17.122538
81.0,30,17.169412
13.0,30,17.20066
49.0,30,17.231914
37.0,30,17.280061
13.0,30,17.307293
25.0,30,17.354172
41.0,30,17.385423
13.0,30,17.416672
53.0,30,17.463547
-3.0,30,17.494797
17.0,30,17.526045
9.0,30,17.572922
5.0,30,17.60417
5.0,30,17.635424
37.0,30,17.682298
5.0,30,17.713547
17.0,30,17.760423
5.0,30,17.807296
-7.0,30,17.838549
37.0,30,17.885422
33.0,30,17.932298
5.0,30,17.963547
25.0,30,18.010751
17.0,30,18.041672
29.0,30,18.088549
1.0,30,18.135422
1.0,30,18.197923
57.0,30,18.244796
25.0,30,18.276047
-3.0,30,18.322938
61.0,30,18.369798
45.0,30,18.416672
25.0,30,18.463547
41.0,30,18.510422
49.0,30,18.557297
21.0,30,18.604172
17.0,30,18.651048
1.0,30,18.682298
25.0,30,18.729172
41.0,30,18.776047
13.0,30,18.822923
21.0,30,18.869798
25.0,30,18.916671
29.0,30,18.963547
45.0,30,19.010422
1.0,30,19.041672
69.0,30,19.088547
-3.0,30,19.135423
29.0,30,19.182298
5.0,30,19.229171
21.0,30,19.276047
45.0,30,19.322922
41.0,30,19.354174
13.0,30,19.401047
21.0,30,19.447921
5.0,30,19.494796
29.0,30,19.526048
17.0,30,19.557297
33.0,30,19.604173
25.0,30,19.651048
45.0,30,19.682298
41.0,30,19.729169
45.0,30,19.76042
21.0,30,19.791669
33.0,30,19.822922
9.0,30,19.85417
41.0,30,22.729172
49.0,30,22.760422
49.0,30,22.791671
13.0,30,22.838544
41.0,30,22.869796
21.0,30,22.901046
-11.0,30,22.946366
13.0,30,22.977618
9.0,30,23.008869
45.0,30,23.040117
57.0,30,23.071369
-7.0,30,23.118241
37.0,30,23.149493
21.0,30,23.180743
9.0,30,23.211993
65.0,30,23.243242
25.0,30,23.274493
25.0,30,23.321371
61.0,30,23.35262
33.0,30,23.38387
41.0,30,23.415117
-3.0,30,23.461993
21.0,30,23.493243
1.0,30,23.524496
5.0,30,23.571367
5.0,30,23.602619
29.0,30,23.633873
25.0,30,23.696367
17.0,30,23.727617
9.0,30,23.758868
21.0,30,23.790117
41.0,30,23.821368
5.0,30,23.852618
17.0,30,23.883869
37.0,30,23.930743
-3.0,30,23.961993
