#{"t_start": 1646607295.5858188, "env_id": "WordleWord-v0"}
r,l,t
2,6,0.086999
-12,7,0.116999
4,6,0.132999
-5,6,0.148999
1,6,0.166999
27,2,0.172999
2,6,0.188998
25,7,0.206999
13,6,0.229
-3,6,0.245001
10,6,0.260999
8,6,0.275999
-3,7,0.292999
4,6,0.305998
8,6,0.320999
0,7,0.335999
38,6,0.348999
15,6,0.361999
6,6,0.37701
-5,6,0.389999
2,6,0.404998
6,6,0.419999
1,6,0.432998
10,6,0.445999
-1,7,0.464
-1,7,0.486998
-3,6,0.507999
6,6,0.524998
6,6,0.545998
52,5,0.560999
0,6,0.577999
40,6,0.596999
-2,7,0.625999
25,1,0.630999
10,6,0.66
3,6,0.682998
0,6,0.705999
48,5,0.725999
0,6,0.744999
25,1,0.748
7,7,0.774998
7,6,0.798999
6,6,0.821
1,6,0.844999
11,6,0.862998
3,6,0.877999
11,6,0.893998
25,1,0.896999
5,6,0.912999
6,6,0.928999
0,6,0.940999
13,7,0.957
3,6,0.969999
-7,6,0.983999
21,6,0.998999
6,6,1.014998
-9,6,1.032
-3,6,1.049998
7,6,1.062999
8,6,1.077998
6,6,1.093999
0,6,1.109999
2,6,1.128999
-7,6,1.142999
9,6,1.159
3,7,1.179
-8,7,1.194
11,6,1.207999
1,6,1.223999
6,7,1.245999
9,6,1.264998
3,6,1.282999
32,3,1.291999
-7,6,1.307998
1,6,1.330998
25,1,1.334999
-4,6,1.357999
-12,7,1.379998
41,5,1.394998
-5,8,1.417999
7,7,1.437999
-4,6,1.458998
2,6,1.475999
-2,6,1.495999
36,4,1.510998
0,6,1.534998
-1,6,1.557998
7,6,1.574001
5,6,2.513
-4,6,2.537
11,6,2.562001
5,7,2.601
-9,6,2.622
-1,6,2.643998
2,8,2.673999
3,6,2.696999
12,6,2.730999
20,7,2.753
14,6,2.768998
-2,7,2.789999
7,7,2.815999
8,7,2.845005
-1,6,2.864001
-4,6,2.885999
3,6,2.906999
15,7,2.933
5,6,2.951998
-6,8,2.974998
9,7,2.994999
12,6,3.02
9,6,3.039999
4,6,3.058999
35,5,3.079
-2,7,3.103
5,7,3.131
-3,7,3.177004
12,7,3.197999
8,6,3.214999
6,6,3.230999
49,6,3.247999
-9,7,3.267998
25,1,3.270999
17,6,3.287
6,8,3.306
12,6,3.321
-6,6,3.336998
-2,6,3.348999
5,6,3.365999
10,6,3.379
-5,6,3.394
12,6,3.408
-1,6,3.421998
10,6,3.439
-7,7,3.456999
10,6,3.470999
11,7,3.488998
25,1,3.491998
25,1,3.494998
13,7,3.512
0,6,3.526999
25,2,3.531999
6,6,3.549999
35,6,3.564999
-10,9,3.589999
9,6,3.608999
8,6,3.625999
4,6,3.642998
7,8,3.674998
-1,6,3.692998
4,6,3.709998
8,6,3.729998
3,6,3.751999
-3,6,3.775
33,4,3.790999
-1,6,3.813999
5,6,3.833
3,7,3.851999
16,6,3.876
11,7,3.898998
1,6,3.917999
2,6,3.940999
3,7,3.966999
1,6,3.988
-10,7,4.006998
14,6,4.021998
6,6,4.035998
3,6,4.048999
4,7,4.089999
-10,7,4.110998
13,6,4.124999
4,9,4.148998
7,7,5.110998
10,6,5.124999
5,6,5.14
7,7,5.161
-5,6,5.184999
2,6,5.21
1,6,5.233999
11,6,5.256998
9,6,5.279999
16,6,5.303998
-6,6,5.328
6,7,5.354998
20,6,5.372
4,6,5.389998
11,6,5.407999
-2,6,5.424999
-7,6,5.441999
-6,6,5.458999
2,7,5.479999
13,8,5.505999
-6,6,5.529999
19,7,5.548999
6,6,5.564998
7,6,5.581998
9,6,5.594999
-5,6,5.611999
-3,6,5.629998
35,6,5.643999
-3,6,5.661998
15,6,5.678998
34,2,5.683998
37,3,5.691999
8,6,5.707999
-2,7,5.726999
0,6,5.743998
1,6,5.759999
-3,6,5.776998
3,6,5.793998
0,6,5.810998
1,6,5.824999
16,6,5.838998
4,8,5.860999
3,6,5.879
13,6,5.894998
1,7,5.916
12,6,5.933999
-1,7,5.953999
41,4,5.964999
-5,6,5.982
11,6,5.998999
5,6,6.019999
-2,6,6.040999
16,6,6.060999
0,7,6.082
4,8,6.104999
-3,7,6.125
4,6,6.144
-8,6,6.163999
14,6,6.181999
27,2,6.189
-4,7,6.209
23,6,6.227
-9,6,6.243999
-1,7,6.262999
12,6,6.277999
2,7,6.296999
1,6,6.309999
19,7,6.324999
10,6,6.338999
1,6,6.353998
13,6,6.366998
-2,6,6.383999
20,6,6.399999
-5,7,6.416999
-7,7,6.433999
4,6,6.448998
-4,6,6.462999
-2,8,6.480999
0,7,6.495998
3,6,6.508999
-3,6,6.523999
3,6,6.536999
-8,7,6.555999
19,6,7.505093
35,4,7.517999
5,6,7.542998
13,6,7.565
25,1,7.567998
3,6,7.59
13,6,7.617
14,6,7.644
30,3,7.658
-3,6,7.683
-2,6,7.712
11,6,7.741
-7,6,7.768999
2,6,7.789999
27,3,7.799
-4,8,7.824999
5,6,7.842001
-9,6,7.858998
-3,6,7.874999
8,8,7.897
4,7,7.916999
-1,6,7.933
-3,6,7.948998
10,6,7.966999
12,6,7.983001
9,6,7.998999
11,8,8.021999
12,6,8.038999
3,6,8.055999
11,6,8.074999
14,7,8.096999
-2,6,8.115999
-3,6,8.135
4,7,8.159998
-2,7,8.187999
29,3,8.198999
2,8,8.230999
-3,7,8.26
19,6,8.285998
11,7,8.314999
5,6,8.339998
6,6,8.363999
10,7,8.396998
6,6,8.419999
0,8,8.449998
34,6,8.471998
25,2,8.477998
-2,6,8.500998
9,6,8.524998
-3,6,8.542998
-1,6,8.559998
7,6,8.574999
-1,7,8.591998
11,6,8.607999
7,6,8.625999
-5,6,8.641999
5,6,8.659999
17,6,8.677
6,6,8.695
8,6,8.712999
-1,7,8.732998
0,8,8.752998
10,6,8.770999
6,7,8.792998
3,6,8.809999
4,6,8.826998
3,6,8.841998
8,6,8.858999
25,1,8.860999
-8,7,8.879999
3,6,8.896
6,7,8.912999
-3,6,8.928998
3,7,8.946998
16,6,8.963998
-7,6,8.980999
5,7,9.000998
-3,7,9.040998
7,6,9.064999
19,7,9.085999
