#{"t_start": 1646340729.9578292, "env_id": "wordle-v0"}
r,l,t
26,4,0.031252
38,6,0.046877
37,5,0.0625
33,20,0.140626
45,8,0.156252
36,9,0.187501
42,8,0.218752
25,1,0.218752
41,6,0.234375
30,4,0.250001
37,8,0.281252
28,10,0.312501
25,1,0.328127
33,3,0.328127
32,8,0.375
34,11,0.406252
30,13,0.468751
-10,13,0.515626
25,1,0.531253
36,9,0.562501
37,3,0.578126
30,7,0.609377
37,6,0.640624
35,8,0.671877
25,2,0.687501
26,13,0.734375
43,12,0.765627
38,7,0.804196
25,1,0.808197
27,2,0.814197
27,2,0.820196
34,8,0.841887
27,2,0.841887
34,5,0.857512
35,7,0.873138
29,11,0.920012
38,15,1.935639
25,1,1.951263
28,7,1.982512
-11,14,2.029387
33,8,2.060637
28,5,2.076262
40,6,2.107512
-1,8,2.123137
29,6,2.154385
31,9,2.170012
25,2,2.170012
-2,7,2.216891
30,5,2.232517
30,3,2.232517
25,1,2.248139
26,3,2.248139
29,3,2.263764
34,10,2.295013
29,2,2.295013
29,9,2.326261
31,4,2.341886
-10,17,2.388762
27,2,2.388762
31,6,2.404385
-6,9,2.435636
31,4,2.435636
29,11,2.466893
34,5,2.482516
25,1,2.482516
27,6,2.498137
-18,23,2.560635
-9,12,2.576261
40,7,2.607513
25,1,2.607513
29,3,2.607513
-2,7,2.623138
41,7,2.654386
29,2,2.654386
25,1,2.654386
41,4,2.654386
29,3,2.670012
-7,10,3.404388
25,1,3.404388
25,5,3.420012
34,11,3.451262
29,8,3.466892
-6,9,3.498136
25,1,3.498136
35,6,3.513762
25,2,3.529392
29,10,3.545012
31,14,3.577462
25,1,3.577462
37,2,3.593092
31,3,3.593092
33,4,3.608768
33,5,3.608768
37,2,3.62434
25,1,3.62434
27,3,3.62434
29,3,3.639966
30,4,3.655588
-8,7,3.671216
47,5,3.686842
27,3,3.686842
29,5,3.702466
27,3,3.702466
32,5,3.71809
37,5,3.733716
10,7,3.749345
29,4,3.764965
35,3,3.764965
29,2,3.78059
14,25,3.84309
27,6,3.858715
31,3,3.874339
25,1,3.874339
25,1,3.874339
25,1,3.874339
-2,13,3.905589
33,4,3.921215
31,3,3.93684
35,5,3.93684
36,9,3.968091
-9,10,3.983716
27,8,4.014964
32,5,4.014964
25,1,4.03059
27,3,4.03059
25,1,4.03059
34,7,4.046214
-2,7,4.74934
29,11,4.78059
39,13,4.81184
37,10,4.827467
38,13,4.874341
33,3,4.874341
-4,7,4.889965
25,1,4.90559
32,4,4.90559
25,2,4.921213
25,1,4.921213
32,8,4.93684
27,3,4.952463
35,5,4.96809
34,6,4.983714
25,1,4.983714
23,18,5.030588
31,3,5.030588
25,1,5.030588
25,1,5.030588
27,16,5.061838
31,3,5.077465
23,5,5.077465
30,12,5.124339
25,1,5.124339
25,1,5.124339
25,1,5.124339
34,6,5.139965
39,5,5.15559
17,32,5.233716
25,1,5.233716
28,4,5.249338
