,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
0,0,9.666666666666666,2022-03-07 00:31:26.436144,2022-03-07 00:34:11.057353,0 days 00:02:44.621209,32,0.2,0.00016484629697370224,0.99,0.995,0.00014374334475566097,0.3,20,256,0.10252696334216216,COMPLETE
1,1,7.333333333333333,2022-03-07 00:34:11.057353,2022-03-07 00:35:15.528915,0 days 00:01:04.471562,128,0.1,0.00037174631937280284,0.9,0.99,1.977646134572922e-05,0.7,10,256,0.7387910693246127,COMPLETE
2,2,2.3333333333333335,2022-03-07 00:35:15.528915,2022-03-07 00:36:54.406526,0 days 00:01:38.877611,32,0.1,0.0005203767774670414,0.8,0.999,2.9066661953099403e-05,0.3,10,1024,0.18558771694908183,COMPLETE
3,3,4.333333333333333,2022-03-07 00:36:54.406526,2022-03-07 00:37:41.871095,0 days 00:00:47.464569,512,0.1,0.004043534452435663,0.98,0.99,1.1494498015841806e-05,1.0,1,2048,0.28721745095100915,COMPLETE
4,4,14.0,2022-03-07 00:37:41.871095,2022-03-07 00:38:48.185515,0 days 00:01:06.314420,256,0.2,0.0004908246855774244,0.95,0.999,4.53744280585492e-05,1.0,20,2048,0.8788393333471788,COMPLETE
5,5,4.666666666666667,2022-03-07 00:38:48.185515,2022-03-07 00:39:18.895833,0 days 00:00:30.710318,256,0.4,0.002190148024800859,0.95,0.999,0.0005913960842267632,5.0,20,2048,0.9966755107270338,PRUNED
6,6,6.0,2022-03-07 00:39:18.895833,2022-03-07 00:40:17.490689,0 days 00:00:58.594856,256,0.2,0.0011642895837555498,0.95,0.9,8.867395667612194e-05,2.0,5,64,0.6629755292655201,COMPLETE
7,7,-4.333333333333333,2022-03-07 00:40:17.506314,2022-03-07 00:40:57.778927,0 days 00:00:40.272613,64,0.3,0.009737492967057717,0.92,0.9999,7.499268622618208e-05,0.5,20,128,0.9961884394971527,PRUNED
8,8,3.6666666666666665,2022-03-07 00:40:57.778927,2022-03-07 00:41:16.517561,0 days 00:00:18.738634,256,0.2,0.00016177509164332196,1.0,0.95,0.00028556326752911845,1.0,1,512,0.484361498713686,PRUNED
9,9,11.0,2022-03-07 00:41:16.517561,2022-03-07 00:42:05.192767,0 days 00:00:48.675206,64,0.3,0.0005522691461030686,0.95,0.999,5.06957873610159e-05,1.0,5,2048,0.7082206978120312,COMPLETE
10,10,-24.666666666666668,2022-03-07 00:42:06.005264,2022-03-07 00:43:07.514075,0 days 00:01:01.508811,512,0.4,0.0014435115503705234,0.99,0.9,0.00021928293518961342,0.9,20,128,0.4742634756363943,COMPLETE
11,11,8.333333333333334,2022-03-07 00:43:07.514075,2022-03-07 00:43:30.182841,0 days 00:00:22.668766,64,0.3,0.000471349028837022,0.95,0.999,4.4144540968150825e-05,1.0,5,2048,0.779039461420391,PRUNED
12,12,1.3333333333333333,2022-03-07 00:43:30.182841,2022-03-07 00:43:52.666824,0 days 00:00:22.483983,64,0.3,0.00031146562371245844,0.95,0.999,5.1104648787109435e-05,1.0,5,2048,0.8556096706912304,PRUNED
13,13,2.0,2022-03-07 00:43:52.666824,2022-03-07 00:44:13.264243,0 days 00:00:20.597419,128,0.2,0.0007552406739431578,0.95,0.999,2.4042964494407844e-05,1.0,5,2048,0.6108285757020787,PRUNED
14,14,-5.333333333333333,2022-03-07 00:44:13.264243,2022-03-07 00:44:38.680536,0 days 00:00:25.416293,256,0.3,0.00010938815728033757,0.98,0.95,1.0590434932893071e-05,0.9,20,512,0.883183918976609,PRUNED
15,15,4.333333333333333,2022-03-07 00:44:38.680536,2022-03-07 00:45:02.645578,0 days 00:00:23.965042,64,0.2,0.00025712044026827285,0.8,0.995,4.696498377965563e-05,2.0,5,64,0.5746577345760973,PRUNED
16,16,0.3333333333333333,2022-03-07 00:45:02.645578,2022-03-07 00:45:21.070286,0 days 00:00:18.424708,256,0.3,0.0008218719046594103,0.9,0.9999,0.0001307144301507842,5.0,1,1024,0.388773053928349,PRUNED
17,17,8.0,2022-03-07 00:45:21.070286,2022-03-07 00:46:20.580678,0 days 00:00:59.510392,64,0.4,0.002431369650128737,0.92,0.999,0.0008168731211601105,0.7,10,2048,0.7437208503053184,COMPLETE
18,18,2.6666666666666665,2022-03-07 00:46:20.580678,2022-03-07 00:47:08.063127,0 days 00:00:47.482449,512,0.2,0.000623911016104415,1.0,0.999,3.526110050623291e-05,0.5,20,2048,0.8788211776469605,COMPLETE
19,19,4.0,2022-03-07 00:47:08.063127,2022-03-07 00:47:28.690047,0 days 00:00:20.626920,128,0.3,0.00021357411423486328,0.95,0.999,8.326097036151709e-05,1.0,5,2048,0.6753709648939138,PRUNED
20,20,2.0,2022-03-07 00:47:29.455672,2022-03-07 00:48:26.806166,0 days 00:00:57.350494,32,0.2,0.0016119636780241294,0.95,0.99,1.664798611934266e-05,1.0,5,256,0.7991145384323632,COMPLETE
21,21,3.6666666666666665,2022-03-07 00:48:26.821792,2022-03-07 00:49:25.689574,0 days 00:00:58.867782,32,0.2,0.00013591706649762657,0.99,0.995,0.00015357547572981492,0.3,20,256,0.05376629324454355,PRUNED
22,22,8.666666666666666,2022-03-07 00:49:25.689574,2022-03-07 00:50:24.704574,0 days 00:00:59.015000,32,0.2,0.0001977796202260823,0.99,0.995,6.335180804313487e-05,0.3,20,256,0.09892448544613267,PRUNED
23,23,10.333333333333334,2022-03-07 00:50:24.704574,2022-03-07 00:52:24.100314,0 days 00:01:59.395740,32,0.2,0.0003641479218940216,0.99,0.995,0.0003697515798818998,0.3,20,256,0.3496818210860714,COMPLETE
24,24,1.0,2022-03-07 00:52:24.100314,2022-03-07 00:53:45.832043,0 days 00:01:21.731729,64,0.2,0.00041573649457762993,0.99,0.995,0.0006989306917549678,0.3,20,512,0.2925466775707327,COMPLETE
25,25,7.666666666666667,2022-03-07 00:53:45.832043,2022-03-07 00:54:25.731667,0 days 00:00:39.899624,256,0.3,0.0008323070607563059,0.95,0.95,0.00041893434483971016,1.0,20,64,0.39160642310986543,PRUNED
26,26,-2.3333333333333335,2022-03-07 00:54:25.731667,2022-03-07 00:54:46.080216,0 days 00:00:20.348549,32,0.1,0.0002969304051590551,0.98,0.9,0.0002278537735099737,0.5,1,128,0.5404397594104767,PRUNED
27,27,3.6666666666666665,2022-03-07 00:54:46.095841,2022-03-07 00:55:07.725651,0 days 00:00:21.629810,256,0.4,0.0005907095073650543,0.9,0.9999,0.0004407441778518527,2.0,10,1024,0.9194896673156563,PRUNED
28,28,11.333333333333334,2022-03-07 00:55:07.725651,2022-03-07 00:56:06.143724,0 days 00:00:58.418073,32,0.2,0.0010086486242854387,1.0,0.995,0.00010746875454865538,0.9,20,256,0.4020375133820841,PRUNED
29,29,3.0,2022-03-07 00:56:06.143724,2022-03-07 00:56:45.651280,0 days 00:00:39.507556,64,0.2,0.0003950422649788896,0.99,0.995,0.00016368488420908875,0.3,20,256,0.193960685413342,PRUNED
30,30,11.666666666666666,2022-03-07 00:56:46.479410,2022-03-07 00:57:12.774766,0 days 00:00:26.295356,32,0.3,0.00026367914378947935,0.8,0.999,3.3099474728935574e-05,0.7,5,2048,0.6331128933553953,PRUNED
31,31,5.333333333333333,2022-03-07 00:57:12.774766,2022-03-07 00:58:11.124587,0 days 00:00:58.349821,32,0.2,0.00014999661614000304,0.99,0.995,6.105869627475347e-05,0.3,20,256,0.1211634679901504,PRUNED
32,32,13.333333333333334,2022-03-07 00:58:11.124587,2022-03-07 00:59:00.637567,0 days 00:00:49.512980,128,0.1,0.0003802911599170926,0.99,0.995,0.00033036254949304634,0.3,10,256,0.24129871574408443,COMPLETE
33,33,1.6666666666666667,2022-03-07 00:59:00.637567,2022-03-07 00:59:25.182495,0 days 00:00:24.544928,128,0.1,0.0003566770769824088,0.99,0.995,0.00037839125418091823,0.3,10,256,0.28822895435986795,PRUNED
34,34,10.333333333333334,2022-03-07 00:59:25.182495,2022-03-07 00:59:49.443643,0 days 00:00:24.261148,128,0.1,0.0005589832938225315,0.99,0.99,0.0002906905540125629,0.3,10,256,0.22140142998217333,PRUNED
35,35,3.6666666666666665,2022-03-07 00:59:49.443643,2022-03-07 01:00:13.594882,0 days 00:00:24.151239,128,0.1,0.00046755415106418776,0.92,0.995,1.934317132748044e-05,5.0,10,256,0.3427339192487649,PRUNED
36,36,12.333333333333334,2022-03-07 01:00:13.594882,2022-03-07 01:00:36.698463,0 days 00:00:23.103581,128,0.1,0.00020519579508622706,0.95,0.999,0.0005492995684970155,0.3,10,2048,0.6973384190626756,PRUNED
37,37,10.0,2022-03-07 01:00:36.698463,2022-03-07 01:00:57.218768,0 days 00:00:20.520305,512,0.1,0.0006800079841370746,0.9,0.999,0.0009608321440996421,1.0,10,1024,0.24006315731299516,PRUNED
38,38,13.666666666666666,2022-03-07 01:00:57.218768,2022-03-07 01:01:35.474124,0 days 00:00:38.255356,256,0.1,0.0010161167480375204,0.99,0.99,0.00011990389332154871,0.7,1,2048,0.14724100531778425,COMPLETE
39,39,7.666666666666667,2022-03-07 01:01:35.474124,2022-03-07 01:01:53.820053,0 days 00:00:18.345929,256,0.1,0.0013342634918409105,0.8,0.99,0.00010634684136199834,0.7,1,2048,0.12956222691845942,PRUNED
40,40,3.0,2022-03-07 01:01:54.726306,2022-03-07 01:02:32.715222,0 days 00:00:37.988916,256,0.1,0.002170900488273701,0.95,0.99,3.7973257835233324e-05,0.7,1,2048,0.024964986643075282,COMPLETE
41,41,0.6666666666666666,2022-03-07 01:02:32.715222,2022-03-07 01:02:51.245942,0 days 00:00:18.530720,256,0.1,0.0009229849798122637,0.99,0.99,0.00031258534414189563,0.7,1,2048,0.4428580670139349,PRUNED
42,42,-1.3333333333333333,2022-03-07 01:02:51.245942,2022-03-07 01:03:09.680247,0 days 00:00:18.434305,256,0.1,0.0004886865336636895,0.99,0.9,0.0001897358856558727,1.0,1,2048,0.1738817308681752,PRUNED
43,43,11.333333333333334,2022-03-07 01:03:09.680247,2022-03-07 01:03:28.518840,0 days 00:00:18.838593,128,0.4,0.009478977491069813,0.99,0.99,6.258096809722763e-05,0.7,1,128,0.32218504130610276,PRUNED
44,44,-1.0,2022-03-07 01:03:28.518840,2022-03-07 01:03:52.406434,0 days 00:00:23.887594,64,0.3,0.0003497462562900941,0.98,0.9999,2.6164493336208794e-05,5.0,5,64,0.24451915026120552,PRUNED
45,45,0.3333333333333333,2022-03-07 01:03:52.406434,2022-03-07 01:04:17.759890,0 days 00:00:25.353456,256,0.1,0.001201553118014589,0.99,0.95,0.0005407909392428577,1.0,20,512,0.9448958044544883,PRUNED
46,46,4.666666666666667,2022-03-07 01:04:17.759890,2022-03-07 01:04:37.965850,0 days 00:00:20.205960,512,0.2,0.0016875760107757755,0.95,0.999,0.00024069999665389953,2.0,10,2048,0.806622425799111,PRUNED
47,47,4.0,2022-03-07 01:04:37.965850,2022-03-07 01:04:58.108718,0 days 00:00:20.142868,256,0.3,0.0007037012896822628,0.92,0.995,0.00012137049343194351,0.9,5,256,0.5286764958533352,PRUNED
48,48,12.0,2022-03-07 01:04:58.108718,2022-03-07 01:05:33.843671,0 days 00:00:35.734953,64,0.4,0.0002511443765986184,1.0,0.999,7.568306611974211e-05,0.5,20,2048,0.34880644119361504,PRUNED
49,49,2.3333333333333335,2022-03-07 01:05:33.843671,2022-03-07 01:05:52.753549,0 days 00:00:18.909878,128,0.2,0.0032727157508059897,0.95,0.9,5.19818529243974e-05,0.3,1,128,0.1653288629256496,PRUNED
50,50,3.0,2022-03-07 01:05:53.769174,2022-03-07 01:06:13.473967,0 days 00:00:19.704793,256,0.1,0.0010091881219458996,0.99,0.99,9.319145329300916e-05,1.0,5,2048,0.08341710646963987,PRUNED
51,51,-2.3333333333333335,2022-03-07 01:06:13.473967,2022-03-07 01:07:11.825858,0 days 00:00:58.351891,32,0.2,0.00045799961512804936,0.99,0.995,0.00014765226136924722,0.3,20,256,0.05150583253777942,PRUNED
52,52,2.3333333333333335,2022-03-07 01:07:11.825858,2022-03-07 01:08:10.111731,0 days 00:00:58.285873,32,0.2,0.000336130603947376,0.99,0.995,0.0003377083237268024,0.3,20,256,0.729519667878652,PRUNED
53,53,1.6666666666666667,2022-03-07 01:08:10.127357,2022-03-07 01:09:08.793155,0 days 00:00:58.665798,32,0.2,0.00016358525315231156,0.99,0.995,0.00019240662721898235,0.3,20,256,0.9959893827380842,PRUNED
54,54,11.0,2022-03-07 01:09:08.793155,2022-03-07 01:09:46.789585,0 days 00:00:37.996430,64,0.2,0.00010003297415606127,0.95,0.999,4.12516956949037e-05,1.0,20,1024,0.1546100808565419,PRUNED
