,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,398.3333333333333,2022-03-02 23:22:33.492218,2022-03-02 23:23:39.762020,0 days 00:01:06.269802,tanh,512,0.3,0.001842532906654376,0.92,0.9,0.00016374262778877442,0.7,10,128,medium,0.12813804644322935,COMPLETE
1,1,398.6666666666667,2022-03-02 23:24:26.857762,2022-03-02 23:26:14.764345,0 days 00:01:47.906583,tanh,256,0.4,0.00045024960847664977,0.99,0.9999,0.00018924600438931997,0.5,10,1024,small,0.5332666098119483,COMPLETE
2,2,401.6666666666667,2022-03-02 23:24:26.857762,2022-03-02 23:31:30.838214,0 days 00:07:03.980452,relu,32,0.2,0.0017657578374456453,0.9,0.999,5.1466180154270406e-05,5.0,20,512,medium,0.509355207000456,COMPLETE
3,3,404.0,2022-03-02 23:24:26.857762,2022-03-02 23:26:09.912494,0 days 00:01:43.054732,relu,32,0.2,0.0007314175918750615,0.8,0.95,6.34563284153015e-05,2.0,1,2048,small,0.13401280269019566,COMPLETE
4,4,3.0,2022-03-02 23:26:09.912494,2022-03-02 23:28:17.545124,0 days 00:02:07.632630,tanh,512,0.1,0.0002610638047622559,0.92,0.999,0.00031072185374312857,0.3,20,256,medium,0.6383016671363749,COMPLETE
5,5,-11.0,2022-03-02 23:26:14.764345,2022-03-02 23:28:22.426701,0 days 00:02:07.662356,tanh,512,0.2,0.006904902999809534,0.92,0.9999,0.0002463874553589043,1.0,20,256,medium,0.050511580026307956,COMPLETE
6,6,5.0,2022-03-02 23:28:17.545124,2022-03-02 23:31:05.928889,0 days 00:02:48.383765,relu,32,0.1,0.0002563236040622012,0.99,0.999,0.00022838449903940004,0.5,5,64,medium,0.9176235777514007,COMPLETE
7,7,-1.3333333333333333,2022-03-02 23:28:22.426701,2022-03-02 23:29:53.396754,0 days 00:01:30.970053,relu,32,0.2,0.0017535473433818222,0.8,0.95,1.7697484667562848e-05,2.0,1,2048,small,0.9000280407066716,COMPLETE
8,8,-6.0,2022-03-02 23:29:53.396754,2022-03-02 23:30:39.707443,0 days 00:00:46.310689,relu,32,0.2,0.00010308842137689465,0.8,0.99,3.2245858968038855e-05,2.0,1,512,small,0.2542896279626913,PRUNED
9,9,4.333333333333333,2022-03-02 23:30:39.707443,2022-03-02 23:31:28.002218,0 days 00:00:48.294775,relu,128,0.4,0.0065122296398845494,0.95,0.95,0.0009667484809195379,5.0,5,2048,small,0.37003639036637503,PRUNED
10,10,2.3333333333333335,2022-03-02 23:31:05.928889,2022-03-02 23:31:55.625165,0 days 00:00:49.696276,relu,64,0.4,0.0055994788421744116,0.95,0.95,0.0009826966492074759,0.9,1,2048,small,0.33653693020966874,PRUNED
11,11,-0.6666666666666666,2022-03-02 23:31:28.017844,2022-03-02 23:32:19.962538,0 days 00:00:51.944694,relu,64,0.3,0.0006106529466525945,1.0,0.995,7.268281392811517e-05,0.9,1,2048,small,0.36272287137390935,PRUNED
12,12,806.6666666666666,2022-03-02 23:31:30.853840,2022-03-02 23:33:06.843559,0 days 00:01:35.989719,relu,64,0.3,0.0009930438087233262,1.0,0.995,1.131483392453254e-05,0.9,1,2048,small,0.27572957457179803,COMPLETE
13,13,2.0,2022-03-02 23:31:55.625165,2022-03-02 23:39:00.906513,0 days 00:07:05.281348,relu,32,0.2,0.000929646308389391,0.9,0.995,5.5973339220882715e-05,5.0,20,512,medium,0.5241722229981904,COMPLETE
14,14,1.0,2022-03-02 23:32:19.962538,2022-03-02 23:35:35.579726,0 days 00:03:15.617188,relu,32,0.2,0.0017280746274970856,0.9,0.999,5.555692564659391e-05,5.0,20,512,medium,0.6771127975191567,PRUNED
