,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
0,0,15.0,2022-03-06 19:55:25.321188,2022-03-06 19:57:38.086763,0 days 00:02:12.765575,64,0.4,0.00023934256167705006,0.8,0.9,0.0005821879689319615,0.7,20,1024,0.4694559821530542,COMPLETE
1,1,3.0,2022-03-06 19:57:38.086763,2022-03-06 19:59:45.578232,0 days 00:02:07.491469,64,0.1,0.0004188731749132311,0.98,0.999,0.0002127668318194966,0.7,20,256,0.7412440414858887,COMPLETE
2,2,-0.3333333333333333,2022-03-06 19:59:45.578232,2022-03-06 20:01:46.813950,0 days 00:02:01.235718,64,0.2,0.0003090132724370909,0.95,0.9,2.2991125909669268e-05,2.0,20,2048,0.5909018708686103,COMPLETE
3,3,6.666666666666667,2022-03-06 20:01:46.813950,2022-03-06 20:03:49.243225,0 days 00:02:02.429275,64,0.2,0.0004201591114359735,1.0,0.95,0.00017266020260236448,0.7,20,256,0.510026410566373,COMPLETE
4,4,16.666666666666668,2022-03-06 20:03:49.243225,2022-03-06 20:04:55.526450,0 days 00:01:06.283225,128,0.3,0.00019189101706282736,0.92,0.99,1.678614193210952e-05,0.7,5,1024,0.7839868264011632,COMPLETE
5,5,7.333333333333333,2022-03-06 20:04:55.526450,2022-03-06 20:06:00.601388,0 days 00:01:05.074938,128,0.3,0.004347566403042268,0.92,0.99,1.0320645310959727e-05,0.9,5,1024,0.023692672396457226,COMPLETE
6,6,6.666666666666667,2022-03-06 20:06:00.601388,2022-03-06 20:06:57.531087,0 days 00:00:56.929699,32,0.3,0.00011284852470671368,0.99,0.995,3.95395635002448e-05,0.5,10,64,0.9626500485454688,PRUNED
7,7,6.666666666666667,2022-03-06 20:06:57.531087,2022-03-06 20:07:26.791231,0 days 00:00:29.260144,128,0.3,0.0016810349588630388,0.9,0.99,5.088654519698613e-05,5.0,1,512,0.9404604980719173,PRUNED
8,8,13.0,2022-03-06 20:07:26.791231,2022-03-06 20:08:34.055904,0 days 00:01:07.264673,512,0.1,0.0013123107020757063,0.92,0.9999,1.023442047049255e-05,0.3,5,128,0.2983056804756753,COMPLETE
9,9,-2.6666666666666665,2022-03-06 20:08:34.055904,2022-03-06 20:09:03.584160,0 days 00:00:29.528256,256,0.4,0.00902529843526055,0.92,0.99,7.761561230027465e-05,1.0,5,1024,0.7489481325484162,PRUNED
10,10,-0.3333333333333333,2022-03-06 20:09:07.240324,2022-03-06 20:09:55.137622,0 days 00:00:47.897298,128,0.3,0.0001016584323142449,0.98,0.995,0.0009717447644523422,2.0,10,64,0.28375524434348776,PRUNED
11,11,11.0,2022-03-06 20:09:55.153246,2022-03-06 20:10:25.426101,0 days 00:00:30.272855,32,0.4,0.00023440378143286457,0.8,0.9,0.0009035678837881039,0.7,1,1024,0.3379592705185156,PRUNED
12,12,10.0,2022-03-06 20:10:25.426101,2022-03-06 20:11:27.371064,0 days 00:01:01.944963,512,0.4,0.0007007186591345381,0.8,0.9,0.00040615633772295373,0.7,5,1024,0.6940898062781864,COMPLETE
13,13,8.0,2022-03-06 20:11:27.371064,2022-03-06 20:12:46.874556,0 days 00:01:19.503492,256,0.4,0.00020666073581031513,0.8,0.9999,0.00043607058689049724,0.7,20,1024,0.42609500930339905,COMPLETE
14,14,7.0,2022-03-06 20:12:46.876557,2022-03-06 20:13:19.815227,0 days 00:00:32.938670,128,0.4,0.00016138153465958794,0.9,0.999,0.00013047527250878245,0.9,5,2048,0.05718319109107356,PRUNED
15,15,10.666666666666666,2022-03-06 20:13:19.816239,2022-03-06 20:14:20.868216,0 days 00:01:01.051977,64,0.3,0.0007524007072551574,1.0,0.95,2.0706811517739256e-05,0.3,20,128,0.8619856940299634,PRUNED
16,16,16.333333333333332,2022-03-06 20:14:20.868216,2022-03-06 20:15:54.624033,0 days 00:01:33.755817,64,0.1,0.0023879425617694453,0.99,0.99,0.00033159063700822713,0.5,10,512,0.601622036173723,COMPLETE
17,17,-3.3333333333333335,2022-03-06 20:15:54.624033,2022-03-06 20:17:07.952111,0 days 00:01:13.328078,128,0.1,0.0022939957250077804,0.99,0.99,0.0002663435860066322,0.5,10,512,0.6052635471857394,COMPLETE
18,18,9.0,2022-03-06 20:17:07.952111,2022-03-06 20:17:39.919932,0 days 00:00:31.967821,512,0.1,0.0031437669771347677,0.99,0.99,7.801032712906638e-05,0.5,10,512,0.8379888384207885,PRUNED
19,19,3.3333333333333335,2022-03-06 20:17:39.920932,2022-03-06 20:18:37.735078,0 days 00:00:57.814146,32,0.1,0.005923778227476962,0.95,0.99,2.2143388885580257e-05,1.0,10,512,0.6335420869051943,PRUNED
20,20,-2.0,2022-03-06 20:18:41.824712,2022-03-06 20:19:16.192462,0 days 00:00:34.367750,256,0.2,0.000994632104268642,0.92,0.99,4.305386150572924e-05,5.0,1,512,0.8417227648884368,PRUNED
21,21,13.333333333333334,2022-03-06 20:19:16.192462,2022-03-06 20:20:13.027923,0 days 00:00:56.835461,64,0.3,0.0005058324552091763,0.8,0.9,0.0005378149310154418,0.5,20,1024,0.4599930849663152,PRUNED
