,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-2.0,2022-03-04 15:30:27.343229,2022-03-04 15:32:41.924649,0 days 00:02:14.581420,tanh,256,0.4,0.00013049265937327368,0.9,0.999,2.9294753921188484e-05,0.3,5,512,medium,0.8518519451426094,COMPLETE
1,1,-2.0,2022-03-04 15:30:27.343229,2022-03-04 15:32:34.907441,0 days 00:02:07.564212,tanh,512,0.2,0.0006241889118912564,0.98,0.9999,0.0002603841892037418,5.0,5,128,small,0.30031258164680374,COMPLETE
2,2,0.0,2022-03-04 15:30:27.343229,2022-03-04 15:34:33.027608,0 days 00:04:05.684379,relu,64,0.1,0.0009937824677580698,0.98,0.999,2.7309107780267007e-05,0.3,20,64,small,0.23993234991314627,COMPLETE
3,3,-8006.666666666667,2022-03-04 15:32:34.907441,2022-03-04 15:46:47.863186,0 days 00:14:12.955745,relu,32,0.2,0.0006179273878386352,0.8,0.999,0.0006496968074292791,2.0,20,64,medium,0.8849878043859328,PRUNED
4,4,-95988.66666666667,2022-03-04 15:32:41.927649,2022-03-04 15:52:31.967624,0 days 00:19:50.039975,relu,512,0.4,0.002395040412658656,0.8,0.9,8.801163059151731e-05,0.3,20,128,medium,0.5425591171817717,PRUNED
5,5,11.333333333333334,2022-03-04 15:34:33.027608,2022-03-04 15:36:58.534218,0 days 00:02:25.506610,tanh,512,0.2,0.007289320488957384,1.0,0.999,5.189689698498885e-05,0.5,10,128,medium,0.5171380183170422,COMPLETE
6,6,4.333333333333333,2022-03-04 15:36:58.549844,2022-03-04 15:39:48.398976,0 days 00:02:49.849132,relu,512,0.3,0.0016544364296661146,0.92,0.999,0.00025039645092703866,1.0,10,128,medium,0.7912768536592875,COMPLETE
7,7,0.3333333333333333,2022-03-04 15:39:48.398976,2022-03-04 15:40:43.297840,0 days 00:00:54.898864,tanh,128,0.2,0.009420093295337746,1.0,0.95,0.0009852728861140367,0.5,1,256,medium,0.5582836889841845,PRUNED
8,8,12.0,2022-03-04 15:40:43.297840,2022-03-04 15:45:27.399271,0 days 00:04:44.101431,tanh,32,0.2,0.005727640931541903,0.99,0.99,1.1399404853515552e-05,0.7,10,1024,medium,0.0038542070884031165,COMPLETE
9,9,1.3333333333333333,2022-03-05 14:52:11.849359,2022-03-05 14:53:12.774974,0 days 00:01:00.925615,,32,0.3,0.003584533675835652,0.99,0.99,1.1463995259887874e-05,0.7,10,1024,,0.0038600046927892836,PRUNED
10,10,-5.0,2022-03-05 14:53:12.774974,2022-03-05 14:53:45.868725,0 days 00:00:33.093751,,32,0.1,0.00019844672086407087,0.99,0.99,1.0821028524082244e-05,0.7,1,1024,,0.003791694975211257,PRUNED
11,11,5.333333333333333,2022-03-05 14:53:45.868725,2022-03-05 14:55:09.423035,0 days 00:01:23.554310,,128,0.2,0.009272500283255792,0.95,0.995,4.622584456593003e-05,0.5,10,2048,,0.3270329045487483,COMPLETE
12,12,9.333333333333334,2022-03-05 14:55:09.423035,2022-03-05 14:56:25.279430,0 days 00:01:15.856395,,256,0.2,0.004500884237636521,1.0,0.99,7.989247867482816e-05,0.9,10,1024,,0.6817606380705563,COMPLETE
13,13,0.6666666666666666,2022-03-05 14:56:25.279430,2022-03-05 14:56:58.624386,0 days 00:00:33.344956,,512,0.2,0.005072073727298803,1.0,0.95,2.0934792984077186e-05,0.5,10,2048,,0.4438528407151209,PRUNED
14,14,-2.3333333333333335,2022-03-05 14:56:58.624386,2022-03-05 14:57:47.642584,0 days 00:00:49.018198,,64,0.2,0.006013989693459781,0.99,0.9999,0.0001886848858419879,0.7,10,512,,0.183581377693048,PRUNED
15,15,4.333333333333333,2022-03-05 14:57:47.642584,2022-03-05 14:58:51.734493,0 days 00:01:04.091909,,32,0.2,0.002409564180086448,0.95,0.9,5.116754594432362e-05,0.9,10,256,,0.6815950090702323,PRUNED
16,16,9.666666666666666,2022-03-05 14:58:51.734493,2022-03-05 15:00:14.381132,0 days 00:01:22.646639,,512,0.1,0.00978437988379956,0.9,0.995,1.6693244304867695e-05,1.0,10,128,,0.9909491747661614,COMPLETE
17,17,1.0,2022-03-05 15:00:14.381132,2022-03-05 15:01:00.319829,0 days 00:00:45.938697,,32,0.3,0.001366960540074655,0.92,0.99,0.00015225991671413588,2.0,5,1024,,0.42609100813914524,PRUNED
18,18,4.666666666666667,2022-03-05 15:01:00.319829,2022-03-05 15:01:30.666054,0 days 00:00:30.346225,,128,0.4,0.003111393353642023,1.0,0.999,3.840821091791025e-05,5.0,1,128,,0.12483923559130457,PRUNED
19,19,5.333333333333333,2022-03-05 15:01:30.666054,2022-03-05 15:02:17.824799,0 days 00:00:47.158745,,64,0.2,0.00029778388322690847,0.99,0.99,1.6575902604897667e-05,0.7,10,1024,,0.6350068854255386,PRUNED
20,20,-1.0,2022-03-05 15:02:17.824799,2022-03-05 15:03:07.547060,0 days 00:00:49.722261,,256,0.2,0.005790608080899899,1.0,0.95,6.62691019064315e-05,0.5,10,64,,0.4064277638253403,PRUNED
21,21,-3.0,2022-03-05 15:03:07.547060,2022-03-05 15:03:48.532672,0 days 00:00:40.985612,,512,0.1,0.009714780742213706,0.9,0.995,1.676774927389882e-05,1.0,10,128,,0.9459025420070153,PRUNED
22,22,5.666666666666667,2022-03-05 15:03:48.532672,2022-03-05 15:04:30.301197,0 days 00:00:41.768525,,512,0.1,0.006664854940015337,0.9,0.995,1.0198870213357631e-05,1.0,10,128,,0.7884220806490165,PRUNED
23,23,0.3333333333333333,2022-03-05 15:04:30.301197,2022-03-05 15:05:10.789018,0 days 00:00:40.487821,,512,0.1,0.003592730558733116,0.9,0.995,2.2368672228894633e-05,1.0,10,128,,0.12338902708500593,PRUNED
